constituentDate,bondIdentifier,weight,notional,marketValue,ytm,duration,bondRating,country,coupon,currency,bondType,sector
30/09/22,B1287960488596,0.000952673,500000000,396813805.6,8.855353417,6.278099859,BBB,IN,4.625,USD,Corporates,Basic Materials
30/09/22,B1287960469524,0.001296905,600000000,540195420,6.798325078,5.723721931,BBB,IN,4.5,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960356565,0.000598015,300000000,249089010,8.805932228,4.800120942,BBB,IN,4.5,USD,Corporates,Basic Materials
30/09/22,B1287960469523,0.000941429,400000000,392130400,5.748929119,1.660971289,BBB,IN,3.75,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960520663,0.001429271,750000000,595329666.7,8.511985437,11.49133245,BBB,ID,6.2,USD,Corporates,Basic Materials
30/09/22,B1287960486985,0.000929412,500000000,387125000,8.20582017,11.80794905,BBB,ID,5.8,USD,Corporates,Basic Materials
30/09/22,B1287960270066,0.001288264,650000000,536596351.6,5.28354354,3.834955229,AA,KR,2.5,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960469527,0.00077797,1000000000,324045234.3,4.69020494,1.679907789,AAA,JP,2.44,USD,Collateralized,Contractual Covered
30/09/22,B1287960333965,0.000377905,500000000,157407658.5,4.653073691,4.264627793,A,JP,2.75,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960363384,0.000688492,300000000,286775270,6.51780449,5.056887001,BBB,IN,5.25,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960520657,0.003065235,1500000000,1276752083,8.082768366,7.163049941,BBB,ID,5.315,USD,Corporates,Basic Materials
30/09/22,B1287960367230,0.000768688,356032000,320179132.6,7.983434448,11.46666604,BBB,ID,6.757,USD,Corporates,Basic Materials
30/09/22,B1287960514425,0.001575523,1750000000,656247459.2,4.8209567,3.885423299,AAA,AU,1.552,USD,Collateralized,Australia Covered
30/09/22,B1287960479335,0.001683183,1750000000,701090692.7,4.741918244,2.243501234,AAA,AU,2,USD,Collateralized,Australia Covered
30/09/22,B1287960486984,0.002172196,1000000000,904777500,7.411253733,6.113333805,BBB,ID,5.45,USD,Corporates,Basic Materials
30/09/22,B1287960520655,0.001671345,750000000,696159541.7,7.390123824,4.013057171,BBB,ID,4.763,USD,Corporates,Basic Materials
30/09/22,B1287960253959,0.000916888,1200000000,381908423.8,4.756328929,2.85780831,A,JP,2.75,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960253957,0.001563702,750000000,651323479.4,4.898719414,2.836314797,AA,KR,3.375,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960354698,0.002236846,1000000000,931705966.7,7.362768689,4.607615352,BBB,IN,5.45,USD,Corporates,Basic Materials
30/09/22,B1286246588313,0.000699883,497352000,291520057.6,7.211587581,10.86345946,BBB,AU,6,USD,Corporates,Basic Materials
30/09/22,B1287960365330,0.000797889,1000000000,332341828.2,4.37540653,0.983330931,A,JP,3.375,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287957046914,0.00064148,474000000,267193378.8,7.097728489,11.31817359,BBB,AU,5.3,USD,Corporates,Basic Materials
30/09/22,B1287960366665,0.000719624,1000000000,299742593.8,4.654476393,5.428071428,A,JP,3.5,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287958492900,0.000792865,500000000,330249584.3,7.021603829,9.378178216,BBB,AU,6.9,USD,Corporates,Basic Materials
30/09/22,B1287960366664,0.001500505,2000000000,625000308.8,4.552207538,1.058355896,A,JP,3.375,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960519747,0.000580794,300000000,241916190,6.986952371,13.69633581,BBB,TH,5.2,USD,Corporates,Basic Materials
30/09/22,B1287960367228,0.001449373,598460000,603702509.6,6.895653778,5.015607384,BBB,ID,6.53,USD,Corporates,Basic Materials
30/09/22,B1287960502133,0.000935959,550000000,389851898.3,6.803673802,14.25538237,BBB,TH,4.3,USD,Corporates,Basic Materials
30/09/22,B1286292877681,0.000716073,500000000,298263466.9,6.738717393,11.18133178,BBB,AU,5.75,USD,Corporates,Basic Materials
30/09/22,B1287960473183,0.000693908,300000000,289031250,6.627983436,1.885205682,,TH,4.375,USD,Corporates,Basic Materials
30/09/22,B1287960490393,0.001680183,2500000000,699840809.6,4.688018193,2.76666204,A,JP,0.625,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960519744,0.00206119,1000000000,858540400,6.594846896,7.702040159,BBB,TH,4.4,USD,Corporates,Basic Materials
30/09/22,B1287960520580,0.000947633,700000000,394714538.8,6.484228775,7.5714721,BBB,AU,4.35,USD,Corporates,Basic Materials
30/09/22,B1287960265734,0.00223484,1000000000,930870350,5.668331301,3.610948655,BBB,IN,3.375,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960502131,0.001321001,700000000,550232083.3,6.449800251,7.38386455,BBB,TH,2.98,USD,Corporates,Basic Materials
30/09/22,B1287960493421,0.001076386,1500000000,448343430.1,4.903065885,0.957376756,A,JP,0.375,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960511274,0.000873877,750000000,363993149.2,6.415143733,7.871650417,BBB,AU,2.625,USD,Corporates,Basic Materials
30/09/22,B1287960504084,0.000728859,600000000,303589085.2,6.414597088,7.395110021,BBB,AU,2.85,USD,Corporates,Basic Materials
30/09/22,B1287960492494,0.001185492,1000000000,493789035.5,6.409754688,7.090533002,BBB,AU,2.5,USD,Corporates,Basic Materials
30/09/22,B1287960371227,0.0010746,750000000,447599482.5,6.40482317,5.556964231,BBB,AU,4.875,USD,Corporates,Basic Materials
30/09/22,B1287960511275,0.000475079,500000000,197883112.9,6.397159155,15.56985449,BBB,AU,3.375,USD,Corporates,Basic Materials
30/09/22,B1287960057668,0.003391393,1500000000,1412605650,7.278642384,11.30359605,BBB,ID,6.45,USD,Sovereigns & Sub-Sovereigns,Other Sub-Sovereigns
30/09/22,B1287960057661,0.000737635,1000000000,307244794.2,4.606260398,1.619227399,A,JP,3,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960504085,0.00053646,500000000,223449926.4,6.381742339,14.69537481,BBB,AU,3.875,USD,Corporates,Basic Materials
30/09/22,B1287960486832,0.000572277,500000000,238368567.9,6.353103058,14.32683417,BBB,AU,4.2,USD,Corporates,Basic Materials
30/09/22,B1287960517907,0.000816243,1250000000,339987109.2,4.61854681,5.945213557,A,JP,2.125,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960486830,0.000847632,650000000,353061430.4,6.14910361,6.614564046,BBB,AU,3.25,USD,Corporates,Basic Materials
30/09/22,B1287960350789,0.000710774,500000000,296056311.4,6.146548761,4.547772016,BBB,AU,3.875,USD,Corporates,Basic Materials
30/09/22,B1287960525665,0.000620214,300000000,258335704.1,5.90717755,4.360424421,BBB,KR,4.5,USD,Corporates,Basic Materials
30/09/22,B1287960504081,0.000810729,600000000,337690083.5,5.873991566,3.452464282,BBB,AU,1.625,USD,Corporates,Basic Materials
30/09/22,B1287960486983,0.002373492,1000000000,988622500,5.849612321,2.453460436,BBB,ID,4.75,USD,Corporates,Basic Materials
30/09/22,B1287960367226,0.0007607,310939000,316851909.3,5.836774807,1.083734921,BBB,ID,5.71,USD,Corporates,Basic Materials
30/09/22,B1287960278172,0.001443932,1000000000,601436276.7,5.809522885,4.139676998,BBB,AU,4,USD,Corporates,Basic Materials
30/09/22,B1287960360170,0.000466928,300000000,194488091.9,5.759918218,0.641419713,BBB,AU,4.625,USD,Corporates,Basic Materials
30/09/22,B1287960525662,0.001480825,700000000,616802937.5,5.671868052,2.685227406,BBB,KR,4.375,USD,Corporates,Basic Materials
30/09/22,B1287960224093,0.000755796,500000000,314809088.3,5.625039903,2.397429658,BBB,AU,4,USD,Corporates,Basic Materials
30/09/22,B1287891757580,0.00070878,500000000,295225826.1,5.614867398,12.53597484,A,AU,4.75,USD,Corporates,Basic Materials
30/09/22,B1287960354697,0.000721057,300000000,300339550,5.561664586,0.805729849,BBB,IN,4.45,USD,Corporates,Basic Materials
30/09/22,B1287959895298,0.001558036,1000000000,648963422.8,5.550115641,1.513148914,BBB,AU,4.625,USD,Corporates,Basic Materials
30/09/22,B1287960507671,0.000863427,500000000,359640328.5,5.541902308,7.784871668,BBB,KR,2.375,USD,Corporates,Basic Materials
30/09/22,B1282711121947,0.001769084,1150000000,736870760,5.539982768,11.57633309,A,AU,5.2,USD,Corporates,Basic Materials
30/09/22,B1287956742709,0.000988568,750000000,411765072.7,5.499627794,13.07054615,A,AU,4.125,USD,Corporates,Basic Materials
30/09/22,B1287960371225,0.001518804,1000000000,632622520.6,5.498472813,1.419582325,BBB,AU,4.125,USD,Corporates,Basic Materials
30/09/22,B1287960479535,0.00168177,1000000000,700502083.3,6.708320206,14.12041138,BBB,ID,4.175,USD,Sovereigns & Sub-Sovereigns,Other Sub-Sovereigns
30/09/22,B1287960479533,0.000997339,500000000,415418333.3,6.231688163,6.458898411,BBB,ID,3.1,USD,Sovereigns & Sub-Sovereigns,Other Sub-Sovereigns
30/09/22,B1287958697271,0.003640372,2500000000,1516311908,5.492889694,13.00471912,A,AU,5,USD,Corporates,Basic Materials
30/09/22,B1287960372916,0.001000227,500000000,416621225.1,5.484698278,5.734386586,BBB,KR,3.625,USD,Corporates,Basic Materials
30/09/22,B1287960369165,0.000855833,400000000,356477129.7,5.466129958,1.285217927,BBB,KR,3.875,USD,Corporates,Basic Materials
30/09/22,B1287960492492,0.00139056,1000000000,579205409.1,5.458792818,2.855564963,BBB,AU,1.625,USD,Corporates,Basic Materials
30/09/22,B1287525213714,0.001315248,1000000000,547835893.4,5.432329658,12.91895533,A,AU,4.125,USD,Corporates,Basic Materials
30/09/22,C171222463,0.001276892,750000000,531859396.6,5.414939971,4.827555821,A,AU,7.125,USD,Corporates,Basic Materials
30/09/22,B1287960363107,0.003119111,1350000000,1299192712,4.629642341,5.264586254,AAA,SG,3.625,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960525005,0.00063989,300000000,266531058,5.392039221,2.630385926,BBB,KR,4.375,USD,Corporates,Basic Materials
30/09/22,B1287960507670,0.000943176,500000000,392857967.7,5.372571854,3.665882803,BBB,KR,1.375,USD,Corporates,Basic Materials
30/09/22,B1287960522237,0.001060909,500000000,441896979.4,5.094783549,2.499822505,AA,KR,3.625,USD,Sovereigns & Sub-Sovereigns,Other Sub-Sovereigns
30/09/22,B1287960372912,0.001058142,500000000,440744294.4,5.349494974,1.960714768,BBB,KR,3.25,USD,Corporates,Basic Materials
30/09/22,B1287960479531,0.000899722,440000000,374758197.1,5.327005912,2.233816372,BBB,KR,2.5,USD,Corporates,Basic Materials
30/09/22,B1287958050534,0.002331504,1500000000,971133431.9,5.213122273,0.656513008,BBB,AU,4.125,USD,Corporates,Basic Materials
30/09/22,B1287960513628,0.001283507,1250000000,534614728.8,5.146178647,17.42601927,A,AU,2.75,USD,Corporates,Basic Materials
30/09/22,B1287960470721,0.001044402,500000000,435021253.9,5.145504049,1.750286426,BBB,KR,2.75,USD,Corporates,Basic Materials
30/09/22,B1287960363106,0.001080623,500000000,450108091.5,4.979210639,0.826263907,BBB,KR,4,USD,Corporates,Basic Materials
30/09/22,B1287958697270,0.001123406,734413000,467928716,4.84062298,0.990514362,A,AU,3.85,USD,Corporates,Basic Materials
30/09/22,B1287960367950,0.001207067,500000000,502775450,6.678046032,5.124225117,BBB,IN,6.15,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1281230757828,0.003039265,1179014000,1265934895,5.0613415,2.005575601,BBB,PH,7.39,USD,Sovereigns & Sub-Sovereigns,Other Sub-Sovereigns
31/10/22,B1287956742709,0.000968683,750000000,390365994.3,5.77026762,12.85431867,A,AU,4.125,USD,Corporates,Basic Materials
30/09/22,B1287960493618,0.000678602,500000000,282655669.2,4.698709265,7.548868944,AA,KR,1.25,USD,Sovereigns & Sub-Sovereigns,Agencies
31/10/22,B1287891757580,0.000699575,500000000,281919046.4,5.790080258,12.36995325,A,AU,4.75,USD,Corporates,Basic Materials
31/10/22,B1287960479531,0.00091907,440000000,370372646.8,6.129980256,2.149780908,BBB,KR,2.5,USD,Corporates,Basic Materials
31/10/22,B1287960470721,0.00107432,500000000,432935979.8,5.660821708,1.666723356,BBB,KR,2.75,USD,Corporates,Basic Materials
31/10/22,B1287960363106,0.001114576,500000000,449158763.3,5.749072608,0.742895244,BBB,KR,4,USD,Corporates,Basic Materials
31/10/22,B1287960372912,0.001068308,500000000,430513223.7,5.6693371,1.909633675,BBB,KR,3.25,USD,Corporates,Basic Materials
31/10/22,B1287957046914,0.000617755,474000000,248946948.8,7.306291912,11.50327023,BBB,AU,5.3,USD,Corporates,Basic Materials
31/10/22,B1287960372916,0.000994886,500000000,400925190.8,5.77974783,5.758319387,BBB,KR,3.625,USD,Corporates,Basic Materials
31/10/22,C171222463,0.001283039,750000000,517047036.2,5.68384217,4.734144313,A,AU,7.125,USD,Corporates,Basic Materials
31/10/22,B1287960354698,0.002252664,1000000000,907792733.3,8.129441405,4.509537305,BBB,IN,5.45,USD,Corporates,Basic Materials
31/10/22,B1287960354697,0.000744418,300000000,299990210,6.167312149,0.722365873,BBB,IN,4.45,USD,Corporates,Basic Materials
31/10/22,B1287960486984,0.002246654,1000000000,905370555.6,7.572497399,6.01839855,BBB,ID,5.45,USD,Corporates,Basic Materials
31/10/22,B1287960486985,0.000949095,500000000,382472222.2,8.36979808,11.59023122,BBB,ID,5.8,USD,Corporates,Basic Materials
31/10/22,B1287960486983,0.002427881,1000000000,978402777.8,6.764787596,2.364844272,BBB,ID,4.75,USD,Corporates,Basic Materials
31/10/22,B1287960519744,0.002014976,1000000000,812007666.7,7.402420409,7.554593732,BBB,TH,4.4,USD,Corporates,Basic Materials
31/10/22,B1287960519747,0.00052056,300000000,209778460,7.851289359,12.8084259,BBB,TH,5.2,USD,Corporates,Basic Materials
31/10/22,B1287958697270,0.001140352,734413000,459546325.3,4.980219445,0.907174836,A,AU,3.85,USD,Corporates,Basic Materials
31/10/22,B1287958697271,0.003594637,2500000000,1448589034,5.783181416,12.7668908,A,AU,5,USD,Corporates,Basic Materials
31/10/22,B1287525213714,0.001300919,1000000000,524252390.5,5.7472849,12.68986406,A,AU,4.125,USD,Corporates,Basic Materials
31/10/22,B1287960488596,0.000975688,500000000,393188788.9,9.214562619,6.175773414,BBB,IN,4.625,USD,Corporates,Basic Materials
31/10/22,B1287958492900,0.000803433,500000000,323772425.9,7.160277631,9.255884435,BBB,AU,6.9,USD,Corporates,Basic Materials
